"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MAP2",0,6.86326081226006,0.979,0.029,0
"TBR1",0,7.5700911155607,0.934,0.011,0
"BCL11B",0,6.03646065601542,0.947,0.039,0
"RBFOX3",0,9.1694044090082,0.788,0.002,0
"SATB2",0,9.00642961453136,0.751,0.005,0
"CAMK2A",1.03235839212248e-217,7.77763035574404,0.435,0.002,5.16179196061241e-214
"SLC17A7",2.98665161249824e-195,5.9800673951768,0.408,0.006,1.49332580624912e-191
"NEFM",8.73923705651013e-100,3.6668031152237,0.288,0.032,4.36961852825507e-96
"GRIN2A",4.30216103151451e-93,1.79662495966627,0.47,0.152,2.15108051575725e-89
"RN7SL189P",2.01712126481849e-81,1.94841306905741,0.403,0.124,1.00856063240924e-77
"PVALB",0,6.80120037345395,0.944,0.03,0
"SLC6A1",0,7.5084114645968,0.93,0.018,0
"GAD2",0,9.39438714393146,0.88,0.007,0
"SLC32A1",0,6.27921461685493,0.601,0.012,0
"RELN",0,5.69659835563842,0.564,0.021,0
"DLX1",1.25132609890873e-183,12.6385939898729,0.279,0.001,6.25663049454364e-180
"NEFL",1.0124807622639e-126,1.51904635689153,0.858,0.412,5.06240381131948e-123
"CNTNAP5",4.35436778647285e-108,2.60359081299775,0.316,0.046,2.17718389323642e-104
"ATP5F1AP2",2.21002494758403e-82,2.04896952195161,0.337,0.076,1.10501247379201e-78
"SNORD103C",2.33696164297195e-45,1.53113213787086,0.328,0.12,1.16848082148598e-41
"ALDH1L1",0,6.87608564620315,0.898,0.022,0
"SOX9",0,6.99618952748637,0.636,0.007,0
"GFAP",0,8.11272143401519,0.48,0.001,0
"SLC1A3",0,11.4601292146501,0.458,0.001,0
"SLC1A2",1.2436870523815e-239,13.6913841542743,0.322,0,6.21843526190748e-236
"HMGN4",8.7256707093947e-76,2.92550762811367,0.266,0.032,4.36283535469735e-72
"MIR6758",3.05162178260688e-59,2.27463855189713,0.367,0.084,1.52581089130344e-55
"ZNF519P3",6.17793072922624e-44,2.5086410399838,0.268,0.06,3.08896536461312e-40
"URGCP",7.1116082755511e-42,1.82330517462926,0.364,0.106,3.55580413777555e-38
"RPS27P9",6.23870281742988e-39,2.34299462385192,0.299,0.081,3.11935140871494e-35
"CLDN11",0,6.05119569802584,0.752,0.033,0
"MOG",0,7.52375098291805,0.625,0.005,0
"PLP1",3.17583792360758e-281,6.75499119518523,0.419,0.005,1.58791896180379e-277
"MBP",5.38564797616967e-255,7.21976769038205,0.351,0.001,2.69282398808484e-251
"UBL5P1",6.05979607579966e-63,2.20375604152204,0.507,0.147,3.02989803789983e-59
"LRRC8C-DT",2.5957874325972e-42,2.81985956006136,0.254,0.054,1.2978937162986e-38
"NDUFAB1P1",6.01834134252419e-32,1.79626076229179,0.351,0.123,3.00917067126209e-28
"ANKK1",1.1229913454326e-24,1.66459071511047,0.316,0.12,5.614956727163e-21
"MIR6833",1.28715371391179e-23,1.74434923317817,0.283,0.102,6.43576856955896e-20
"RECQL4",2.62619374426952e-17,1.76687456397437,0.289,0.125,1.31309687213476e-13
"PDGFRA",0,6.11561489793462,0.967,0.044,0
"NKX2-2",0,6.3533597371719,0.885,0.029,0
"SOX10",2.31801568777038e-302,15.2237943601933,0.393,0,1.15900784388519e-298
"CROCCP5",1.5164603097946e-36,2.23466007417499,0.399,0.098,7.58230154897302e-33
"CYLD-AS1",7.23749188499388e-26,2.33560582980503,0.257,0.058,3.61874594249694e-22
"LRRC8C-DT",2.17457428069477e-23,1.95255274846065,0.257,0.063,1.08728714034738e-19
"MAB21L2",8.66414091021815e-20,2.03579763937236,0.279,0.082,4.33207045510907e-16
"RNU6-1057P",1.05580237366996e-19,2.63695417595417,0.339,0.116,5.27901186834979e-16
"KLHDC10",4.37699999366437e-19,1.99659200660727,0.262,0.076,2.18849999683219e-15
"PNISR-AS1",1.37401974397268e-17,2.02332664051329,0.295,0.097,6.87009871986341e-14
"LST1",0,6.07784202050849,0.939,0.046,0
"CSF1R",0,9.0878979470673,0.78,0.003,0
"AIF1",3.87228795603354e-246,8.08728129618722,0.379,0.003,1.93614397801677e-242
"CCL4",3.18137830499807e-202,7.54286960433322,0.273,0.001,1.59068915249904e-198
"RPLP0",1.43748629430479e-18,1.81577273138147,0.394,0.131,7.18743147152393e-15
"ANKK1",2.83114861667792e-16,1.43439936765481,0.379,0.129,1.41557430833896e-12
"SNX12",2.23922331924151e-14,1.38711046337698,0.258,0.075,1.11961165962076e-10
"MIR6729",2.00708457252352e-12,1.40455662170154,0.28,0.095,1.00354228626176e-08
"CA4",2.22389492395014e-12,1.61143552086356,0.341,0.132,1.11194746197507e-08
"NDUFB7",1.46041549380331e-05,1.6184991726817,0.25,0.124,0.0730207746901655
